domain,port,metadata_comment,ip
owrgw.netcraze.link,444,Possible NanoKVM Domain (Unverified),178.176.44.33
panel.regcloudfest.ru,8889,Possible NanoKVM Domain (Unverified),95.165.143.236
papra.hertz-eichenrode.net,443,Possible GLKVM Domain (Unverified),31.16.114.99
parus-online.ru,2323,Possible NanoKVM Domain (Unverified),176.123.217.148
pasarjajanan.com,6661,Possible TinyPilot KVM Domain (Unverified),104.173.108.165
pavelrosario.direct.quickconnect.to,8443,Possible NanoKVM Domain (Unverified),100.1.72.71
payments-test.sipeed.com,443,Possible NanoKVM Domain (Unverified),42.192.68.187
pcj8110.direct.quickconnect.to,8080,Possible NanoKVM Domain (Unverified),112.168.75.177
pcj8110.direct.quickconnect.to,8088,Possible NanoKVM Domain (Unverified),112.168.75.177
pcj8110.direct.quickconnect.to,8378,Possible NanoKVM Domain (Unverified),112.168.75.177
pcj8110.direct.quickconnect.to,8411,Possible NanoKVM Domain (Unverified),112.168.75.177
pcj8110.direct.quickconnect.to,8511,Possible NanoKVM Domain (Unverified),112.168.75.177
pcj8110.direct.quickconnect.to,8517,Possible NanoKVM Domain (Unverified),112.168.75.177
pcj8110.direct.quickconnect.to,8978,Possible NanoKVM Domain (Unverified),112.168.75.177
pcj8110.direct.quickconnect.to,9058,Possible NanoKVM Domain (Unverified),112.168.75.177
peticucicd.japaneast.cloudapp.azure.com,36011,Possible PiKVM Domain (Unverified),20.222.180.224
pihole-debug.akeb.ru,61443,Possible NanoKVM Domain (Unverified),95.84.158.6
praclarush.i234.me,40130,Possible GLKVM Domain (Unverified),109.192.75.96
pterodactyl.matheo.cloud,2999,Possible NanoKVM Domain (Unverified),88.186.39.23
px.squirrelpiles.com,4747,Possible GLKVM Domain (Unverified),73.71.126.150
q31.duckdns.org,8081,Possible NanoKVM Domain (Unverified),180.67.255.80
qh.dhui.fun,9443,Possible GLKVM Domain (Unverified),112.229.239.121
r1-guangzhou-dev.glkvm.cn,10443,Possible GLKVM Domain (Unverified),14.215.162.114
r1-lax-pre.glkvm.xyz,443,Possible GLKVM Domain (Unverified),216.106.181.141
r12.glkvm.top,443,Possible GLKVM Domain (Unverified),15.235.162.252
r13.glkvm.top,443,Possible GLKVM Domain (Unverified),164.52.6.38
r14.glkvm.top,443,Possible GLKVM Domain (Unverified),51.161.198.71
r3.glkvm.cn,443,Possible GLKVM Domain (Unverified),203.2.119.124
r3.glkvm.top,443,Possible GLKVM Domain (Unverified),172.99.188.182
r3.ustaging-kvm.com,443,Possible GLKVM Domain (Unverified),216.152.152.221
